literal,sourced,context
0.001,True,"relative to the reported VaR. Across the panel $R$ spans four orders of magnitude, from $0.001$ for CAViaR --- already calibrated, and unchanged by correction --- to $23.5$ for Chronos"
500,True,"number of tail events is only $\mathcal{O}(\alpha T)$. For $\alpha=0.01$ and roughly 1{,}500 out-of-sample observations, the extreme tail is informed by few exceedances. Flexible rec"
100048,True,al_Oracle/}; slides are on the Quantinar platform \quantinar{https://quantinar.com/course/100048/recalibrating-tail-risk-forecasts-under-temporal-dependence}. \section{Related Liter
240,True,on magnitude as an audit instrument; the order-of-magnitude separation we document across 240 model--asset pairs is invisible to their formulations. \section{Methodology}
250,True,"m the model-implied conditional distribution or, for Historical Simulation, the empirical 250-day rolling distribution. Expected Shortfall is reported separately at $\alpha = 0.025$"
0.70,True,ast outputs are split chronologically into calibration and test sets with fraction $f_c = 0.70$ (robustness in Section~ ). The nonconformity score $S_t$ from equation~ is positive wh
0.18,True,"six representative model--asset pairs spanning estimated score persistence $\hat\rho \in [0.18, 0.67]$, the estimated remainder $\hat\Delta_n$ lies between 0.109 and 0.138 --- a covera"
0.67,True,"presentative model--asset pairs spanning estimated score persistence $\hat\rho \in [0.18, 0.67]$, the estimated remainder $\hat\Delta_n$ lies between 0.109 and 0.138 --- a coverage flo"
0.109,True,"sistence $\hat\rho \in [0.18, 0.67]$, the estimated remainder $\hat\Delta_n$ lies between 0.109 and 0.138 --- a coverage floor of approximately 88\% against empirical coverage averaging"
0.138,True,"\hat\rho \in [0.18, 0.67]$, the estimated remainder $\hat\Delta_n$ lies between 0.109 and 0.138 --- a coverage floor of approximately 88\% against empirical coverage averaging 98.9\%. A"
240,True,"erage floor of approximately 88\% against empirical coverage averaging 98.9\%. Across all 240 model--asset pairs, empirical coverage exceeds the corresponding lower bound $1 - \alpha"
250,True,he conformal threshold is recomputed at each time $t$ from a trailing window of size $w = 250$: \begin{equation} \qVroll = Q_{1-\alpha}\!\left(\{S_\tau\}_{\tau=t-w}^{t-1}\right)
0.70,True,"first 70\% as calibration and the remaining 30\% as the out-of-sample test window ($f_c = 0.70$, Section~ ); the rolling estimator recomputes the threshold at each $t$ from a trailing"
250,True,"olling estimator recomputes the threshold at each $t$ from a trailing window of size $w = 250$ (Section~ ) and is evaluated on the same 30\% test window. The full asset list, per-asse"
512,True,"every forecaster. All forecasts are one-step-ahead. TSFMs use a fixed context length of 512 observations, the default for all six pretrained checkpoints (Appendix~ ). Classical benc"
250,True,"rained checkpoints (Appendix~ ). Classical benchmarks are estimated on rolling windows of 250 observations, following the Basel convention p{basel1996}, with parameters re-estimated"
512,True,"l convention p{basel1996}, with parameters re-estimated at each step. A warm-up period (512 observations for TSFMs, 250 for classical benchmarks) precedes the calibration--test spli"
250,True,"with parameters re-estimated at each step. A warm-up period (512 observations for TSFMs, 250 for classical benchmarks) precedes the calibration--test split. For full-history series ("
500,True,"n--test split. For full-history series (2000--2026), the test sample is approximately 1{,}500 observations per asset, yielding roughly 36{,}600 panel observations per model and 366 ex"
600,True,"), the test sample is approximately 1{,}500 observations per asset, yielding roughly 36{,}600 panel observations per model and 366 expected violations at $\alpha = 0.01$. \section"
