# Every chronological calibration/test split, with what it does
# about the separation gap of Corollary 4.6. Emitted by
# scripts/audit_split_convention.py --emit; the conventions are
# then set by hand and the audit fails the build on an
# undeclared site. See analysis/convention/GAP_SWITCH_SCOPE.md.
file	code	convention	line	note
scripts/baseline_aci.py	n_cal = int(T * F_CAL)	CONTIGUOUS	165	the protocol as reported; migrates if the panel switches
scripts/baseline_gbm_qr.py	n_cal = int(T * F_CAL)	CONTIGUOUS	148	the protocol as reported; migrates if the panel switches
scripts/baselines_evt_fhs.py	n_cal = int(N * F_CAL)	CONTIGUOUS	90	the protocol as reported; migrates if the panel switches
scripts/fz_scores.py	n_cal = int(T * f_cal)	CONTIGUOUS	85	the protocol as reported; migrates if the panel switches
scripts/fz_scores.py	n_cal = int(T * F_CAL)	CONTIGUOUS	157	the protocol as reported; migrates if the panel switches
scripts/gap_ablation.py	n_cal = int(fc * n)	MEASUREMENT	63	computes the contiguous and gapped arms on purpose, to compare them
scripts/qV_block_bootstrap.py	n_cal = int(F_C * n)	NOT_A_PANEL	76	splits simulated or resampled data, not a forecast series; the theorem's separation does not apply
scripts/r4_rolling_and_frontier.py	n_cal = int(T * F_CAL)	CONTIGUOUS	111	the protocol as reported; migrates if the panel switches
scripts/table_c1_es_correction.py	n_cal = int(N * F_CAL)	CONTIGUOUS	199	the protocol as reported; migrates if the panel switches
scripts/tail_completion_robustness.py	n_cal = int(F_C * n)	CONTIGUOUS	81	the protocol as reported; migrates if the panel switches
Quantlets/CFP_Capital_Charge/CFP_Capital_Charge.py	n_cal = int(N * F_CAL)	CONTIGUOUS	64	the protocol as reported; migrates if the panel switches
Quantlets/CFP_ES_Correction_Z2/CFP_ES_Correction_Z2.py	n_cal = int(N * F_CAL)	CONTIGUOUS	207	the protocol as reported; migrates if the panel switches
Quantlets/CO_aci_baseline/run_aci_baseline.py	n_cal = int(n * F_CAL)	CONTIGUOUS	128	the protocol as reported; migrates if the panel switches
Quantlets/CO_aci_baseline/run_aci_baseline.py	n_cal = int(n * F_CAL)	CONTIGUOUS	328	the protocol as reported; migrates if the panel switches
Quantlets/CO_baseline_comparison/compile_tab_baselines.py	n_cal = int(n * F_CAL)	CONTIGUOUS	218	the protocol as reported; migrates if the panel switches
