file	code	convention	produces	note
scripts/baseline_aci.py	q_hat = np.quantile(window_scores, min(q_level, 1.0))	NOT_THE_SHIFT	ACI baseline	adaptive level 1-alpha_t by construction; ACI is not the conformal shift
scripts/baseline_aci.py	q_hat = np.quantile(window, min(q_level, 1.0))	NOT_THE_SHIFT	ACI baseline	as above
scripts/build_qs_sequences.py	scores = np.sort(v_cal - r_cal)	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
scripts/build_rolling_qv_series.py	out[t] = np.sort(scores[t - w:t])[k]	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
scripts/capital_charge_comparison.py	q_hat_V = np.sort(s_V)[k - 1]	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
scripts/fz_scores.py	q_hat_V = np.quantile(s_V, ceil((n_cal + 1) * (1 - alpha)) / n_cal)	LEVEL_K_OVER_N	Table S.1 (FZ scores)	interpolates ABOVE the order statistic; impact measured, see QV_CONVENTION.md
scripts/qV_block_bootstrap.py	ss = np.sort(boot_scores)	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
scripts/qV_block_bootstrap.py	ss = np.sort(scores)	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
scripts/qV_block_bootstrap.py	lo, hi = np.quantile(boot, [0.025, 0.975])	NOT_THE_SHIFT	Table S.9	percentiles of the bootstrap distribution, not a shift
scripts/r4_rolling_and_frontier.py	return np.sort(scores)[k]	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
scripts/regenerate_rolling_vs_static.py	return np.sort(scores)[k]	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
scripts/regenerate_rolling_vs_static.py	sorted_s = np.sort(scores)	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
scripts/table_c1_es_correction.py	q_hat_V = np.sort(s_V)[k_v - 1]	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
scripts/tail_completion_robustness.py	ss = np.sort(cal_scores)	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
Quantlets/CFP_Capital_Charge/CFP_Capital_Charge.py	q_hat_V = np.sort(s_V)[k - 1]	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
Quantlets/CFP_ES_Correction_Z2/CFP_ES_Correction_Z2.py	q_hat_V = np.sort(s_V)[k_v - 1]	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
Quantlets/CO_baseline_comparison/compile_tab_baselines.py	sorted_scores = np.sort(scores)	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
Quantlets/CO_full_evaluation/run_full_evaluation.py	scores = np.sort(v_cal - r_cal)	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
Quantlets/CO_fz_scores/run_fz_scores.py	q_hat_V = np.quantile(s_V,	LEVEL_K_OVER_N	Table S.1 (FZ scores)	same site, Quantlet copy
Quantlets/CO_garch_conformal/run_conformal_garch_ewma.py	q_hat_V = np.quantile(s_V_valid, q_level)	LEVEL_K_OVER_N	Table S.23 (rolling vs static)	q_level = ceil((n+1)(1-a))/n
Quantlets/CO_identification/run_identification.py	q_hat_v = np.quantile(s_v, q_level)	LEVEL_K_OVER_N	Section 8 identification exhibit	q_level = min(ceil((n+1)(1-a))/n, 1)
Quantlets/CO_marginal_vs_conditional/run_marginal_vs_conditional.py	s = np.sort(v[:n_cal] - r[:n_cal])	ORDER_STATISTIC		np.sort(...)[k-1] with k = ceil((n+1)(1-alpha)); equation (8)
Quantlets/CO_regime_sensitivity/run_regime_sensitivity.py	q_V_t = np.quantile(valid, k_level)	LEVEL_K_OVER_N	Table S.20 (regime sensitivity)	k_level is a k/n level
