model,group,pre_shock_mean,shock_window_max,shock_max_date,shock_ratio,post_shock_max,first_max_date,lag_calendar_days,lag_business_days
Chronos-Small,TSFM,0.027965087149348512,0.097501842415,2020-03-17,3.486556000855211,0.097501842415,2020-03-27,0,0
Chronos-Small-A,TSFM,0.005822269867282387,0.0439635376989981,2020-03-17,7.550927507851607,0.0439635376989981,2020-03-27,0,0
Chronos-Mini,TSFM,0.028520447367153735,0.0474792169518661,2020-03-12,1.6647430645336472,0.0607526931231479,2020-06-12,77,53
Chronos-Mini-A,TSFM,0.005074534504265749,0.039246153340731,2020-03-13,7.733941567988146,0.039246153340731,2020-03-27,0,0
TimesFM-2.5,TSFM,0.005126521163076915,0.0310428018270373,2020-03-17,6.055334765926442,0.0320888362125673,2020-06-12,77,53
Moirai-1.1,TSFM,0.009439286642010242,0.0399539158102522,2020-03-17,4.232726192722483,0.0399539158102522,2020-03-27,0,0
Moirai-2.0,TSFM,0.01212142358939417,0.0393909194938398,2020-03-17,3.2496941636711303,0.0393909194938398,2020-03-27,0,0
Lag-Llama,TSFM,0.010817833612573052,0.0277035839036769,2020-03-17,2.5609179153465944,0.0455724211230383,2020-06-12,77,53
GJR-GARCH,Parametric,0.008540120762083141,0.0098422101514675,2020-02-25,1.1524673275307113,0.0186591585535885,2020-09-04,161,112
GJR-GARCH-t,Parametric,0.007783797833977823,0.0078601578332533,2020-02-25,1.009810121087954,0.0200775324364915,2020-09-04,161,112
GARCH-N,Parametric,0.007058378687246699,0.0119756679745931,2020-02-25,1.6966598853970691,0.0172476943576266,2020-06-12,77,53
Hist-Sim,Parametric,-0.0006053706713281514,0.0599988194672296,2020-03-17,-99.11087918348495,0.0599988194672296,2020-03-27,0,0
EWMA,Parametric,0.0098774157298342,0.0253594069210967,2020-03-13,2.567413138691731,0.0253594069210967,2020-03-27,0,0
